Time,Open,High,Low,Latest,Change,%Change,Volume
12/11/2020,2.1,2.2,2.08,2.08,-0.02,-0.95%,303678
13/11/2020,2.09,2.14,2.05,2.09,0.01,0.48%,380137
16/11/2020,2.12,2.15,2.12,2.12,0.03,1.44%,19448
17/11/2020,2.21,2.21,2.09,2.12,0,0.00%,331190
18/11/2020,2.13,2.2,2.12,2.16,0.04,1.89%,201046
19/11/2020,2.16,2.25,2.14,2.15,-0.01,-0.46%,264080
20/11/2020,2.17,2.3,2.17,2.19,0.04,1.86%,267699
23/11/2020,2.23,2.31,2.21,2.29,0.1,4.57%,322992
24/11/2020,2.32,2.43,2.32,2.37,0.08,3.49%,938713
25/11/2020,2.38,2.41,2.22,2.23,-0.14,-5.91%,498913
26/11/2020,2.3,2.45,2.26,2.28,0.05,2.24%,443017
27/11/2020,2.3,2.37,2.29,2.35,0.07,3.07%,226566
30/11/2020,2.35,2.4,2.27,2.3,-0.05,-2.13%,280152
1/12/2020,2.31,2.38,2.3,2.35,0.05,2.17%,236754
2/12/2020,2.35,2.7,2.33,2.7,0.35,14.89%,1486149
3/12/2020,2.65,2.67,2.5,2.5,-0.2,-7.41%,757217
4/12/2020,2.5,2.57,2.4,2.4,-0.1,-4.00%,780401
7/12/2020,2.45,2.53,2.39,2.39,-0.01,-0.42%,559553
8/12/2020,2.39,2.4,2.31,2.33,-0.06,-2.51%,493186
9/12/2020,2.33,2.35,2.2,2.28,-0.05,-2.15%,777475
10/12/2020,2.28,2.29,2.18,2.19,-0.09,-3.95%,539389
11/12/2020,2.17,2.18,2.11,2.15,-0.04,-1.83%,642322
14/12/2020,2.2,2.26,2.16,2.18,0.03,1.40%,425399
15/12/2020,2.23,2.25,2.13,2.16,-0.02,-0.92%,236275
16/12/2020,2.19,2.2,2.14,2.19,0.03,1.39%,220739
17/12/2020,2.2,2.21,2.11,2.11,-0.08,-3.65%,414820
18/12/2020,2.19,2.29,2.16,2.29,0.18,8.53%,1008357
21/12/2020,2.3,2.34,2.23,2.26,-0.03,-1.31%,204755
22/12/2020,2.25,2.25,2.16,2.18,-0.08,-3.54%,460117
23/12/2020,2.21,2.34,2.2,2.34,0.16,7.34%,347681
24/12/2020,2.34,2.45,2.28,2.44,0.1,4.27%,286303
